modelo,q_norm,vazao,geracao_bruta,geracao_pos_processada,corte_mwmed,derivada_mw_por_m3s,derivada_alvo_mw_por_m3s
pinn_fisica_1d,0.40404040404040403,9555.831626815025,12779.235371238023,12779.235371238023,0,0.985222659353394,1.041822
pinn_fisica_1d,0.41414141414141414,9740.198291508837,12960.636379934176,12960.636379934176,0,0.98234074266404,1.041822
pinn_fisica_1d,0.42424242424242425,9924.564956202652,13141.349155472048,13141.349155472048,0,0.977684591499846,1.041822
pinn_fisica_1d,0.43434343434343436,10108.931620896465,13321.007893975699,13321.007893975699,0,0.9708375002573628,1.041822
pinn_fisica_1d,0.4444444444444444,10293.298285590277,13499.172110420299,13499.172110420299,0,0.9614087705323479,1.041822
pinn_fisica_1d,0.45454545454545453,10477.66495028409,13675.332892896658,13675.332892896658,0,0.9490493852101956,1.041822
pinn_fisica_1d,0.46464646464646464,10662.031614977905,13848.921937263802,13848.921937263802,0,0.9334663633479479,1.041822
pinn_fisica_1d,0.47474747474747475,10846.398279671717,14019.323048847324,13946.316250000002,73.00679884732199,0.9144350470440833,1.041822
pinn_fisica_1d,0.48484848484848486,11030.76494436553,14185.885667985167,13946.316250000002,239.56941798516527,0.8918086699847817,1.041822
pinn_fisica_1d,0.494949494949495,11215.131609059345,14347.93986949895,13946.316250000002,401.62361949894876,0.8655247084233209,1.041822
pinn_fisica_1d,0.5050505050505051,11399.498273753157,14504.812211337481,13946.316250000002,558.4959613374795,0.8356077078447752,1.041822
pinn_fisica_1d,0.5151515151515151,11583.86493844697,14655.841770893221,13946.316250000002,709.5255208932194,0.8021684961003318,1.041822
pinn_fisica_1d,0.5252525252525253,11768.231603140785,14800.395711670128,13946.316250000002,854.079461670126,0.7653999167155929,1.041822
pinn_fisica_1d,0.5353535353535354,11952.598267834595,14937.883767194979,13946.316250000002,991.567517194977,0.7255694240986547,1.041822
pinn_fisica_1d,0.5454545454545454,12136.964932528408,15067.771108818415,13946.316250000002,1121.4548588184134,0.6830090570699392,1.041822
