data,geracao_mwmed,ena_bruta,ena_armazenavel,vazao
2020-03-18,9408.031041666669,20231.09375,20216.4296875,7506.3798828125
2020-03-19,9658.729083333334,19262.578125,19248.52539063,7235.1201171875
2020-03-20,9357.080916666668,18510.4375,18498.21679688,7474.47509765625
2020-03-21,8118.383041666667,17879.63085938,17862.828125,6476.52490234375
2020-03-22,7523.055541666666,17362.91796875,17361.08398438,5645.64013671875
2020-03-23,8002.510625,17069.61914063,17059.84375,5536.22998046875
2020-03-24,8140.773541666667,16896.1953125,16883.97460938,5985.3349609375
2020-03-25,7888.276375,16787.87890625,16774.4375,6100.89990234375
2020-03-26,7569.964208333334,16787.28125,16773.22851563,6006.68994140625
2020-03-27,7585.785041666667,16960.11132813,16949.72460938,5431.85009765625
2020-03-28,7283.342958333334,17142.06445313,17140.23242188,5403.35986328125
2020-03-29,7401.179,17258.66601563,17256.83203125,5468.93994140625
2020-03-30,8038.164208333333,17267.32226563,17265.48828125,5815.5
2020-03-31,7813.600583333333,17253.61328125,17251.78125,5950.330078125
2020-04-01,8091.487291666667,17093.72460938,17091.890625,5595.16015625
2020-04-02,7709.042125,16921.91015625,16920.07617188,5553.6298828125
2020-04-03,7393.453791666667,16745.0390625,16743.20703125,5463.66015625
2020-04-04,6853.056791666667,16564.78320313,16562.95117188,5301.43994140625
2020-04-05,6264.823208333334,16329.07714844,16327.24414063,5484.31005859375
2020-04-06,7028.3980833333335,16120.98632813,16119.15332031,5789.5048828125
2020-04-07,6354.623666666666,15912.81445313,15910.98144531,5910.14501953125
2020-04-08,5863.511208333333,15763.66699219,15761.83398438,6034.06494140625
2020-04-09,5528.536875000001,15495.9453125,15494.11230469,6933.905029296875
2020-04-10,5216.823583333334,15162.05566406,15160.22265625,6757.715087890625
2020-04-11,5730.443166666667,14803.01757813,14801.18457031,5678.18505859375
2020-04-12,5701.809583333333,14448.13378906,14446.30078125,5444.16015625
2020-04-13,6293.9375,14204.87792969,14203.04492188,5834.89501953125
2020-04-14,6908.571583333333,13972.2890625,13970.45605469,6188.81494140625
2020-04-15,6740.233333333334,13728.87011719,13727.03710938,5609.27001953125
2020-04-16,6736.923833333333,13558.63769531,13556.8046875,6007.35498046875
2020-04-17,6690.649916666666,13293.58007813,13291.74707031,5922.64013671875
2020-04-18,7131.722833333333,13115.45019531,13113.6171875,5619.52490234375
2020-04-19,7045.192208333334,12984.00292969,12982.16992188,5491.919921875
2020-04-20,7288.427500000001,12861.34960938,12859.51660156,5438.7451171875
2020-04-21,7364.763708333333,12854.46582031,12852.6328125,5631.7900390625
2020-04-22,7636.81025,12802.70214844,12800.86914063,5672.8701171875
2020-04-23,7627.340083333333,12695.86035156,12694.02734375,6025.330078125
2020-04-24,7787.845083333334,12592.16601563,12590.33300781,6040.60986328125
2020-04-25,7364.689375000001,12472.5390625,12470.70605469,6963.5
2020-04-26,7427.986833333333,12511.09472656,12509.26171875,7226.75
2020-04-27,7668.014999999999,12557.6953125,12555.86230469,7108.64990234375
2020-04-28,7482.424666666667,12576.42285156,12574.58984375,7242.7900390625
2020-04-29,7714.179791666667,12511.38867188,12509.55566406,6680.6650390625
2020-04-30,7638.553916666667,12302.89648438,12301.06347656,6135.1298828125
2020-05-01,7041.228625,12111.875,12110.04199219,5459.97509765625
2020-05-02,7280.707166666667,11923.85546875,11922.02246094,5330.9150390625
2020-05-03,6963.442875,11776.17871094,11773.4296875,5392.76513671875
2020-05-04,7755.532458333334,11476.29296875,11474.45996094,5350.4951171875
2020-05-05,7926.908416666666,11253.11621094,11251.28320313,5299.77001953125
2020-05-06,7440.513958333333,11022.14746094,11020.31445313,5275.169921875
2020-05-07,7265.179541666667,10794.98828125,10793.15527344,5475.64990234375
2020-05-08,6694.360791666666,10645.34667969,10643.51367188,5606.5048828125
2020-05-09,6432.253375,10481.53808594,10479.70507813,5184.31005859375
2020-05-10,6689.89575,10335.89453125,10334.06152344,5095.10986328125
2020-05-11,6946.218833333333,10200.77148438,10198.93847656,5159.1201171875
2020-05-12,7004.765333333333,10206.13867188,10204.30566406,5375.23486328125
2020-05-13,7263.536666666667,10334.40429688,10332.57128906,5252.60498046875
2020-05-14,7344.253250000001,10430.109375,10428.27636719,5187.58984375
2020-05-15,7396.416541666667,10404.90332031,10403.0703125,5169.68994140625
2020-05-16,7474.737958333334,10355.04980469,10353.21679688,5153.43994140625
2020-05-17,7651.883958333333,10290.74707031,10288.9140625,5085.48486328125
2020-05-18,8686.482041666666,10224.66015625,9731.49121094,5039.64990234375
2020-05-19,8799.313583333334,10142.27539063,9638.82714844,5087.5849609375
2020-05-20,8855.800208333332,10111.85546875,9824.265625,4938.85009765625
2020-05-21,8841.858208333333,10180.07421875,9649.90136719,5069.27490234375
2020-05-22,8789.123166666666,10347.9609375,9873.29394531,5411.66015625
2020-05-23,7639.967791666667,10646.67089844,9116.35058594,5271.39501953125
2020-05-24,7663.932875,10916.21191406,9419.81152344,5273.06005859375
2020-05-25,8615.878458333334,10990.53222656,10406.90722656,5208.02490234375
2020-05-26,8826.279458333333,11015.72363281,10792.89257813,5312.4951171875
2020-05-27,8916.506291666667,11035.6015625,11033.76855469,5403.83984375
2020-05-28,8665.024333333333,11079.59863281,10910.21875,5387.1298828125
2020-05-29,8581.494708333334,11033.75585938,10579.64746094,5280.3349609375
2020-05-30,7656.319875,10984.96875,10714.85351563,5339.330078125
2020-05-31,7311.6005,10857.0078125,10855.17480469,5309.22998046875
2020-06-01,8147.702083333334,10729.54296875,10727.70996094,5254.625
2020-06-02,8286.068166666666,10625.50585938,10623.67285156,5284.27490234375
2020-06-03,8257.887708333334,10545.72851563,10543.89648438,5382.7099609375
2020-06-04,7726.804416666667,10460.06542969,10458.23242188,5547.31494140625
2020-06-05,7795.886333333333,10329.40136719,10327.56835938,5586.18994140625
2020-06-06,7228.669375,10258.73046875,10256.89746094,5463.0048828125
2020-06-07,7101.780958333333,10151.87695313,10150.04394531,5407.31005859375
2020-06-08,7407.270666666667,10154.71484375,10152.88183594,5822.56005859375
2020-06-09,7817.807958333334,10116.26855469,10114.43554688,6421.75
2020-06-10,7876.093541666666,10108.04101563,10106.20800781,5689.89501953125
